u10,v10,d2m,t2m,evabs,sp,sshf,tp,swvli,swvl1,swvl2
-3.2225,-3.2855,277.22,299.27,-9.1315e-07,97416,-2.9864e+06,0,0.0013585,0.0013773,0.11859
3.1636,1.1049,296.94,302.05,-0.00081651,1.0037e+05,-7697,0.00029329,0.30623,0.30457,0.32319
1.8643,2.0238,296.01,297.96,-1.3545e-05,97635,3.1725e+05,0,0.28083,0.28137,0.31132
1.993,1.0947,293.95,296.87,-3.196e-06,96260,1.1867e+05,0,0.33707,0.33686,0.33494
0.028268,0.73491,296.32,297.25,0,1.0116e+05,-7697,0.0034217,0.34077,0.33698,0.12604
3.6655,2.3152,294.48,301.5,-0.00062444,97698,-4.3013e+05,0,0.31814,0.31054,0.32158
1.124,0.70305,293.41,298.47,-0.00026915,95821,-4.0413e+05,3.2588e-05,0.21172,0.21019,0.25338
0.51365,1.0153,292.34,294.99,-3.7287e-06,91523,15410,0,0.33137,0.33105,0.32373
-0.55353,0.25062,290.44,302.4,0,1.0002e+05,1.3961e+05,0,0.014326,0.014232,0.13285
2.0368,1.9567,294.5,296.34,-7.914e-06,96910,2.7898e+05,0,0.16182,0.16191,0.1915
0.69613,1.8883,295.49,297.15,0,98000,-3.0246e+06,0.0058723,0.14545,0.15138,0.15544
3.6916,1.9303,295.16,303.67,-0.00087465,97955,-1.9704e+06,0.00020856,0.36569,0.35489,0.30191
0.22648,-2.8921,273.59,309.27,-6.0877e-07,96385,-2.3639e+06,0,0.025859,0.025737,0.25365
-1.1622,1.4346,292.78,293.75,0,96595,35629,0,0.41948,0.41939,0.44003
-3.2337,-4.373,278.43,302.16,-8.9793e-06,93980,-3.543e+05,0,0.12854,0.12853,0.14893
0.66717,0.98385,295.07,302.75,-0.0016467,96174,-1.9047e+06,8.4728e-05,0.37631,0.37187,0.37536
1.6524,0.84961,294.22,295.59,-3.5004e-06,95853,2.0171e+05,0,0.28186,0.28088,0.24225
0.27489,2.0242,295.3,301.17,-0.002106,1.0035e+05,-4.4963e+06,0.00071693,0.45243,0.4526,0.46103
2.3633,-2.5306,287.16,314.31,-7.6096e-08,97591,-5.809e+06,1.3035e-05,0.013061,0.012845,0.096251
-2.6552,-3.2774,272.87,306.9,-0.00023932,95923,-3.7547e+06,0,0.059917,0.059879,0.082478
1.6445,-0.60792,295.05,301.78,-0.00087419,98606,-8.1861e+05,0.00052141,0.29669,0.29071,0.30554
0.36799,1.5888,295.78,297.72,-2.9601e-05,98901,63069,0.00017597,0.38584,0.38206,0.37101
2.6174,0.45708,292.17,297.76,-9.1315e-07,96614,2.7103e+05,0,0.06581,0.065463,0.059598
1.7306,-0.56799,296.45,298.83,-0.00013385,95954,-4.1063e+05,0.0060157,0.41289,0.41164,0.41412
0.2633,2.935,296.2,298.25,-0.0015743,97754,-5.4191e+06,0.0050511,0.24656,0.24646,0.25071
-0.65615,-4.3794,279.41,301.56,-6.8486e-07,96191,2.9847e+05,0,0.12964,0.12964,0.14792
2.4498,1.2867,294.78,301.73,-0.00076477,95488,-6.6697e+05,5.2141e-05,0.30597,0.30071,0.30699
0.95185,0.14187,293.11,296.4,-8.2184e-06,96617,1.5766e+05,0,0.24147,0.24109,0.28163
-0.020973,-1.7141,288.72,305.97,-0.0022602,95975,-4.5865e+06,0,0.16014,0.16017,0.23152
1.4008,1.2209,294.63,295.33,-4.5658e-07,96019,2.1182e+05,0,0.2308,0.22917,0.20211
-1.4953,-4.3607,270.49,297.26,-4.6495e-05,97518,-2.9192e+06,0,0.11722,0.11722,0.14698
-0.43353,0.9762,294.82,296.16,-5.7833e-06,99192,2.2121e+05,0.00091246,0.46733,0.46733,0.45845
0.91089,0.69498,295.35,299.42,-4.3375e-06,99998,34907,0,0.18094,0.18075,0.18428
2.3807,2.7642,294.49,299.23,-8.6749e-06,98569,2.8114e+05,0,0.16011,0.15976,0.16867
-2.5033,3.4885,295.99,301.82,0,1.0126e+05,86176,0,0.023067,0.023067,0.043642
1.6818,0.31647,293.06,295.31,-1.1567e-05,94628,1.6344e+05,0,0.38382,0.38351,0.38473
1.7836,2.5017,294.54,297.51,-7.4802e-05,94975,9633.4,0,0.41736,0.4106,0.39934
-2.0188,-4.0277,278.87,290.43,0,98502,-4.9757e+06,0,0.0091538,0.0091444,0.079011
1.2382,0.4813,295.92,299.02,-6.316e-06,98222,1.4972e+05,0,0.14276,0.14162,0.15514
-3.2618,-2.5408,273.69,295.67,-2.8156e-06,96626,-3.4601e+06,0,0.01471,0.014644,0.12122
-3.5237,2.3088,281.43,310.74,0,97337,-1.1436e+06,0,0.0058746,0.005734,2.8108e-05
1.6106,-0.2617,295.35,299.5,-0.0020215,97125,-9.0599e+05,0.0011797,0.35883,0.36002,0.37294
3.4412,3.8424,292.29,300.46,-2.2829e-07,95830,1.5694e+05,0,0.028961,0.028942,0.073287
0.36592,1.3093,292.36,307.62,-0.0011232,98480,-4.7151e+06,7.1693e-05,0.19922,0.19913,0.285
2.3393,-1.9775,289.15,309.23,-0.00065968,95162,-5.1115e+06,1.9553e-05,0.17249,0.17046,0.16368
-0.75711,0.91545,292.29,293.07,0,93382,52237,0.0057289,0.45453,0.4579,0.49689
1.8837,1.5208,295.96,300.76,-0.00010334,99545,-2.7704e+05,6.5176e-06,0.16455,0.15738,0.068771
0.45779,-2.5676,298.25,304.18,-3.2721e-05,1.0043e+05,-1.6115e+06,0.0019422,0.22658,0.27269,0.12504
3.056,1.0187,294.69,300.85,-6.5443e-06,96967,2.3132e+05,0,0.17492,0.17456,0.14788
-0.22828,1.6066,293.83,297.98,-0.0016422,96049,-1.7263e+06,0.0023724,0.36252,0.363,0.32569
0.57323,0.30203,296.06,304.75,-0.0019257,97063,-2.2274e+06,6.5176e-06,0.33021,0.32377,0.37479
-0.19518,-0.68821,295.85,298.51,-0.0016032,99617,-2.0975e+06,0.009281,0.28719,0.27629,0.22714
1.647,-0.27827,295.3,297.95,-7.6096e-08,96292,46460,0,0.28409,0.28392,0.27393
1.2597,1.6423,292.97,295.49,-1.8491e-05,96571,3.2158e+05,0,0.28835,0.28876,0.30705
2.1663,1.5378,295.58,297.5,-7.6096e-08,97687,1.2661e+05,0,0.081447,0.081241,0.10285
1.2382,0.62871,294.13,300.03,-0.00050855,97098,-1.0591e+06,0.00020204,0.40387,0.40005,0.39966
0.76192,0.8067,293.91,295.87,-4.1092e-06,95501,16132,0.00061265,0.40934,0.40716,0.42966
2.9314,0.70985,294.94,297.41,-2.359e-06,95271,1.4033e+05,0,0.087996,0.088071,0.14032
-3.7149,-0.80418,280.7,299.3,-0.00020576,93711,5.0211e+05,0,0.099118,0.098987,0.17085
0.28689,1.5799,295.51,297.76,-3.7287e-06,98325,1.0351e+05,0,0.24102,0.24139,0.28006
1.5125,1.681,295.28,297.34,-1.9176e-05,98017,3.2736e+05,0,0.31421,0.31369,0.32909
1.2221,-1.6674,283.6,302.16,-0.0018574,95537,-4.7411e+06,0,0.10815,0.10819,0.15759
1.5721,0.40186,295.19,303.95,-0.0012172,96965,-2.3372e+06,3.9105e-05,0.26134,0.25634,0.24512
-0.90277,1.1695,291.47,296.33,-0.0020729,92910,-4.1417e+06,1.9553e-05,0.18954,0.18991,0.25139
1.7265,0.86618,295.3,299.6,-1.2936e-06,97665,60902,0,0.19509,0.19466,0.15519
0.43503,1.1211,294.56,301.56,-0.0007274,99130,-8.1573e+05,1.3035e-05,0.33768,0.33477,0.34047
2.547,2.0004,295.07,296.79,-2.8156e-06,98621,1.9016e+05,0,0.42767,0.42589,0.41211
-1.7837,2.3292,292.2,296.2,0,98075,-2.0621e+06,0.0018445,0.039201,0.038836,0.00010306
2.7605,0.11936,293.69,301.59,-0.0014736,97240,-3.3842e+06,0.001297,0.44328,0.43933,0.43039
3.9457,1.921,292.83,304.92,-7.6096e-08,98288,-4.5251e+05,0,0.029644,0.029101,0.042527
1.1509,1.1228,294.84,297.06,-3.3482e-06,1.0036e+05,58736,3.2588e-05,0.43665,0.43561,0.43786
1.5957,2.4346,295.33,299.29,-7.6096e-08,97547,2.1688e+05,0,0.21907,0.21883,0.25911
-0.33215,0.74808,295.3,297.54,-0.0024375,96368,-4.801e+06,0.0046992,0.49287,0.48865,0.47568
3.5372,0.13805,293.7,305.21,-0.0016315,94764,-3.9352e+06,8.4728e-05,0.13861,0.14902,0.13409
2.036,0.5361,294.52,298.3,-0.00044349,96684,-4.4147e+06,0.00019553,0.29994,0.29972,0.27409
-1.1564,-0.67929,292.28,305.46,-0.0026561,94381,-3.5431e+06,2.607e-05,0.35321,0.34979,0.36458
1.088,0.6389,296.97,303.26,-0.001758,98432,-2.283e+06,0.00059962,0.20914,0.21767,0.19837
2.336,0.21112,293.77,300.28,-0.00057681,95963,-9.6015e+05,0.00057355,0.32184,0.31785,0.30559
1.1194,1.1759,295.79,296.37,0,96974,31296,6.5176e-06,0.37738,0.37834,0.3864
1.6094,0.032696,295.44,297.78,-0.0012868,98353,-1.5523e+06,0.0092615,0.3397,0.33744,0.28872
0.94689,-0.30206,289.94,307.32,-0.0010691,96668,-4.7447e+06,6.5176e-06,0.10149,0.10146,0.15573
1.3032,2.3135,294.73,296.75,-6.3921e-06,97346,2.4793e+05,0,0.25219,0.25163,0.18645
-1.269,-1.1385,281.71,295.53,-7.3509e-05,96803,7.765e+05,0,0.10936,0.10935,0.1577
0.89889,0.65674,293.12,293.12,0,93855,45738,0.0020465,0.42638,0.42405,0.42731
1.7588,2.8687,286.89,310.83,0,96635,-3.7113e+06,0,0.018963,0.018842,0.0048252
-2.0225,-1.0217,281.38,308.86,-0.0015686,97783,-4.9144e+06,0,0.097272,0.097291,0.15371
-0.040836,1.2485,296.08,296.5,-0.0024859,98685,-2.3805e+06,0.0013557,0.47061,0.49634,0.47653
-0.97891,0.38486,281.4,305.76,-0.0019617,92336,-2.8434e+06,0,0.13855,0.13766,0.19728
0.88275,1.1168,295.46,300.71,-0.0016008,95894,-1.4425e+06,0.001108,0.37754,0.37669,0.37982
1.5576,2.0497,294.39,294.96,-7.6096e-08,98689,1.9449e+05,0.0029329,0.45068,0.45864,0.39478
0.22275,0.041617,296.76,298.49,-0.0023749,96603,-2.2332e+06,0.0023659,0.33343,0.35115,0.34404
1.2039,0.75827,294.6,301.76,-0.00054774,98273,-5.5505e+05,0.00014339,0.30613,0.29894,0.2762
2.0314,1.2833,296.77,299.76,-0.00018514,97537,-51745,0,0.26758,0.26095,0.26616
-0.91146,-0.23154,297.07,298.19,-0.002545,98851,-2.5257e+06,0.0053183,0.40138,0.39603,0.41669
0.68537,0.94094,295.83,301.71,-0.0017586,97429,-1.7241e+06,0.00032588,0.44944,0.4456,0.42432
1.1492,0.96728,296.02,300.05,-0.00055139,97123,-7.1391e+05,0.0029394,0.39369,0.43033,0.38434
0.068406,1.8398,295.92,297.09,-0.0026236,98740,-1.7718e+06,0.00036498,0.33217,0.3321,0.33388
1.0234,2.1878,294.64,296.71,-7.5335e-06,98301,1.7572e+05,6.5176e-05,0.36072,0.35832,0.31768
0.27985,1.7073,295.53,301.65,-0.0011827,93585,-2.1206e+06,0.00029981,0.32559,0.32389,0.31374
0.3411,0.28036,294.37,294.63,-7.6096e-08,96479,13966,0.0029785,0.41806,0.41437,0.4093
1.1525,-0.53868,290.32,293.98,-0.00026588,87203,-1.6512e+06,0.0095091,0.44512,0.44165,0.48221
2.3844,1.9503,296.77,299.61,-0.00013218,98411,3.1292e+05,0,0.27443,0.26909,0.27314
3.9494,1.9864,292.99,305.96,-2.2829e-07,97787,-1.0981e+06,0.00022811,0.036681,0.035603,0.10055
2.9492,-1.3496,296.71,299,0,1.0093e+05,-1.6498e+06,0,0.24136,0.19942,0.24103
0.2062,-3.918,292.28,293.13,0,99290,-4.167e+06,0,0.012742,0.012986,0.17461
1.6665,-0.7736,291.25,304.48,-0.0005835,93626,-1.7537e+06,5.2141e-05,0.11518,0.11402,0.16995
1.2837,1.4618,294.21,294.85,-6.4682e-06,98734,2.7248e+05,6.5176e-06,0.36276,0.36252,0.35712
2.0058,0.65802,294.27,297.04,-5.6007e-05,94196,14688,0,0.26955,0.26391,0.31113
-1.1448,-1.2481,287.07,301.34,-0.00072375,89340,-1.8758e+06,0,0.30382,0.30214,0.35196
-0.88042,0.34791,288.91,296.44,-1.1871e-05,95713,82565,0,0.37717,0.37735,0.39937
-1.3646,0.44519,294.97,295.71,-1.2175e-06,95446,65957,1.3035e-05,0.37756,0.37599,0.35412
2.259,1.2519,294.04,294.69,-7.6096e-08,97660,3.7141e+05,0.0066218,0.41736,0.40883,0.3669
-0.54318,-0.85431,295.99,299.44,-0.0020073,96869,-1.87e+06,0.0022095,0.36264,0.3623,0.36795
0.8033,3.1869,295.71,297.83,-5.4028e-06,96883,69568,0.00011732,0.31465,0.31459,0.34266
-1.9902,0.87892,272.07,298.17,-3.8048e-07,95083,-2.3061e+06,0,0.00019676,4.6847e-05,0.024669
0.98454,1.9172,294.81,295.46,0,96487,82565,0.00029981,0.46521,0.46855,0.3732
-1.1312,-0.2018,295.69,296.04,0,1.0101e+05,31296,0.0028221,0.42328,0.4281,0.45793
-0.13766,2.6487,293.25,303.85,-0.00018567,96374,-8.5111e+05,0,0.10921,0.10914,0.15443
-0.26966,2.0174,295.11,302.76,-0.0012226,96651,-1.5624e+06,0.00017597,0.4073,0.39657,0.36635
1.736,0.61851,295.2,303.19,-0.00042842,96733,-1.6728e+05,0,0.23158,0.22381,0.24648
3.7723,2.1699,294.08,302.41,-0.002018,96436,-2.0065e+06,0.0011862,0.42154,0.41534,0.41606
1.129,-0.20307,294.59,296.57,-9.8164e-06,97959,1.4683e+05,0,0.39631,0.39611,0.39984
0.95558,1.9477,296.05,297.31,-8.751e-06,99335,2.2626e+05,0,0.30193,0.30178,0.29825
-0.43435,-0.58838,292.51,293.47,-0.0011315,88682,-3.6659e+06,0.016098,0.39725,0.39478,0.38588
